name	party	state	SGID	thomas_id	bioguide_id	congress	number_of_bills
Lowenthal, Alan S.	Democrat	CA	1801	2111.0	L000579	115	17
Vargas, Juan	Democrat	CA	1802	2112.0	V000130	115	11
Peters, Scott H.	Democrat	CA	1803	2113.0	P000608	115	20
Esty, Elizabeth H.	Democrat	CT	1804	2114.0	E000293	115	28
Yoho, Ted S.	Republican	FL	1805	2115.0	Y000065	115	23
DeSantis, Ron	Republican	FL	1806	2116.0	D000621	115	14
Frankel, Lois	Democrat	FL	1809	2119.0	F000462	115	14
Collins, Doug	Republican	GA	1811	2121.0	C001093	115	22
Gabbard, Tulsi	Democrat	HI	1812	2122.0	G000571	115	22
Davis, Rodney	Republican	IL	1816	2126.0	D000619	115	22
Bustos, Cheri	Democrat	IL	1817	2127.0	B001286	115	21
Walorski, Jackie	Republican	IN	1818	2128.0	W000813	115	15
Brooks, Susan W.	Republican	IN	1819	2129.0	B001284	115	19
Messer, Luke	Republican	IN	1820	2130.0	M001189	115	20
Barr, Andy	Republican	KY	1821	2131.0	B001282	115	21
Delaney, John K.	Democrat	MD	1822	2133.0	D000620	115	20
Wagner, Ann	Republican	MO	1825	2137.0	W000812	115	15
Hudson, Richard	Republican	NC	1827	2140.0	H001067	115	17
Pittenger, Robert	Republican	NC	1828	2141.0	P000606	115	10
Meadows, Mark	Republican	NC	1829	2142.0	M001187	115	32
Holding, George	Republican	NC	1830	2143.0	H001065	115	12
Cramer, Kevin	Republican	ND	1831	2144.0	C001096	115	18
Kuster, Ann M.	Democrat	NH	1832	2145.0	K000382	115	23
Lujan Grisham, Michelle	Democrat	NM	1833	2146.0	L000580	115	23
Meng, Grace	Democrat	NY	1835	2148.0	M001188	115	37
Jeffries, Hakeem S.	Democrat	NY	1836	2149.0	J000294	115	12
Maloney, Sean Patrick	Democrat	NY	1837	2150.0	M001185	115	19
Collins, Chris	Republican	NY	1838	2151.0	C001092	115	19
Wenstrup, Brad R.	Republican	OH	1839	2152.0	W000815	115	12
Beatty, Joyce	Democrat	OH	1840	2153.0	B001281	115	17
Joyce, David P.	Republican	OH	1841	2154.0	J000295	115	10
Bridenstine, Jim	Republican	OK	1842	2155.0	B001283	115	1
