name	party	state	SGID	thomas_id	bioguide_id	congress	number_of_bills
Mast, Brian J.	Republican	FL	1959		M001199	115	15
McEachin, A. Donald	Democrat	VA	1960		M001200	115	19
McSally, Martha	Republican	AZ	1961		M001197	115	28
Mitchell, Paul	Republican	MI	1962		M001201	115	7
Moolenaar, John R.	Republican	MI	1963		M001194	115	4
Mooney, Alexander X.	Republican	WV	1964		M001195	115	8
Morelle, Joseph D.	Democrat	NY	1965		M001206	115	1
Moulton, Seth	Democrat	MA	1966		M001196	115	18
Murphy, Stephanie N.	Democrat	FL	1967		M001202	115	16
Newhouse, Dan	Republican	WA	1968		N000189	115	10
Norcross, Donald	Democrat	NJ	1969		N000188	115	9
Norman, Ralph	Republican	SC	1970		N000190	115	14
O'Halleran, Tom	Democrat	AZ	1971		O000171	115	18
Palmer, Gary J.	Republican	AL	1972		P000609	115	7
Panetta, Jimmy	Democrat	CA	1973		P000613	115	9
Plaskett, Stacey E.	Democrat	VI	1974		P000610	115	9
Poliquin, Bruce	Republican	ME	1975		P000611	115	11
Radewagen, Aumua Amata Coleman	Republican	AS	1976		R000600	115	6
Raskin, Jamie	Democrat	MD	1977		R000606	115	11
Ratcliffe, John	Republican	TX	1978		R000601	115	15
Rice, Kathleen M.	Democrat	NY	1979		R000602	115	17
Rooney, Francis	Republican	FL	1980		R000607	115	19
Rosen, Jacky	Democrat	NV	1981		R000608	115	19
Rouzer, David	Republican	NC	1982		R000603	115	6
Russell, Steve	Republican	OK	1983		R000604	115	14
Rutherford, John H.	Republican	FL	1984		R000609	115	12
Ryan, Paul D.	Republican	WI	1985		R000570	115	2
Scanlon, Mary Gay	Democrat	PA	1986		S001205	115	0
Schneider, Bradley Scott	Democrat	IL	1987		S001190	115	30
Smucker, Lloyd	Republican	PA	1988		S001199	115	10
Soto, Darren	Democrat	FL	1989		S001200	115	18
Stefanik, Elise M.	Republican	NY	1990		S001196	115	21
Suozzi, Thomas R.	Democrat	NY	1991		S001201	115	8
Taylor, Scott	Republican	VA	1993		T000477	115	18
Tenney, Claudia	Republican	NY	1994		T000478	115	13
Torres, Norma J.	Democrat	CA	1995		T000474	115	26
Trott, David A.	Republican	MI	1996		T000475	115	10
Walker, Mark	Republican	NC	1997		W000819	115	12
Walters, Mimi	Republican	CA	1998		W000820	115	8
Watson Coleman, Bonnie	Democrat	NJ	1999		W000822	115	18
Weber, Randy K., Sr.	Republican	TX	2000		W000814	115	9
Westerman, Bruce	Republican	AR	2001		W000821	115	9
Wild, Susan	Democrat	PA	2002		W000826	115	0
Young, David	Republican	IA	2003		Y000066	115	15
Zeldin, Lee M.	Republican	NY	2004		Z000017	115	24
Zinke, Ryan K.	Republican	MT	2005		Z000018	115	0
