bill_id	bill_type	congress	introduced_at	bill_number	sponsor_SGID
hr5473-115	hr	115	2018-04-11	5473	1895
hr530-115	hr	115	2017-01-13	530	347
hr1481-115	hr	115	2017-03-09	1481	1688
hr95-115	hr	115	2017-01-03	95	1796
hr5114-115	hr	115	2018-02-27	5114	1782
hr1788-115	hr	115	2017-03-29	1788	1829
hr3314-115	hr	115	2017-07-19	3314	1626
hr5197-115	hr	115	2018-03-07	5197	1328
hr100-115	hr	115	2017-01-03	100	1796
hr610-115	hr	115	2017-01-23	610	1475
hr6377-115	hr	115	2018-07-16	6377	1646
hr5561-115	hr	115	2018-04-18	5561	1917
hr1780-115	hr	115	2017-03-29	1780	1898
hr6623-115	hr	115	2018-07-26	6623	1505
hr1630-115	hr	115	2017-03-20	1630	99
hr542-115	hr	115	2017-01-13	542	1838
hr6619-115	hr	115	2018-07-26	6619	1549
hr4509-115	hr	115	2017-12-01	4509	1883
hr5570-115	hr	115	2018-04-18	5570	981
hr2465-115	hr	115	2017-05-16	2465	1548
hr2787-115	hr	115	2017-06-06	2787	621
hr2295-115	hr	115	2017-05-02	2295	688
hr6787-115	hr	115	2018-09-12	6787	1930
hr3854-115	hr	115	2017-09-27	3854	1973
hr766-115	hr	115	2017-01-31	766	1191
hr5695-115	hr	115	2018-05-07	5695	1777
hr2201-115	hr	115	2017-04-27	2201	1907
hr1906-115	hr	115	2017-04-05	1906	258
hr5004-115	hr	115	2018-02-13	5004	1435
hr4699-115	hr	115	2017-12-20	4699	1569
hr1279-115	hr	115	2017-03-01	1279	1804
hr6714-115	hr	115	2018-09-06	6714	1811
hr5282-115	hr	115	2018-03-14	5282	1754
hr6064-115	hr	115	2018-06-08	6064	1991
hr4270-115	hr	115	2017-11-07	4270	1821
hr2191-115	hr	115	2017-04-27	2191	1906
hr2619-115	hr	115	2017-05-24	2619	1837
hr6742-115	hr	115	2018-09-07	6742	1959
hr4627-115	hr	115	2017-12-12	4627	1905
hr1213-115	hr	115	2017-02-21	1213	1007
hr1974-115	hr	115	2017-04-06	1974	1944
hr6346-115	hr	115	2018-07-12	6346	1937
hr6159-115	hr	115	2018-06-20	6159	1831
hr1814-115	hr	115	2017-03-30	1814	1717
hr7086-115	hr	115	2018-10-23	7086	1949
hr4252-115	hr	115	2017-11-03	4252	1387
hr4702-115	hr	115	2017-12-20	4702	1980
hr2960-115	hr	115	2017-06-20	2960	1835
